#Strain	Work Hardening Rate
0.0	919.7624
0.01	925.4570666666667
0.015	932.8099
0.02	924.1873999999999
0.03	909.3361000000001
0.04	895.0386
0.05	886.4030000000001
0.06	879.5066000000003
