# Strain	Stress (GPa)	Mean Volume (A^3)	Mean Energy(eV)	Mean Temperature (K)	Mean Pressure (GPa)
0.0	0.0	0.0	0.0	0.0	0.0 
0.010000	9.197624	181.347246	-289.457140	282.286000	-3.818667
0.015000	13.881856	181.347246	-289.099312	312.785333	-3.888667
0.020000	18.525723	181.347246	-289.067382	283.384000	-4.036000
0.030000	27.744667	181.347246	-288.240957	302.101333	-4.492000
0.040000	36.712445	181.347246	-287.868814	310.496333	-4.779000
0.050000	45.645439	181.347246	-286.731573	305.482667	-5.361000
0.060000	54.440505	181.347246	-285.654587	289.880333	-6.008000
