Component: indent_strength
Strain, Stress, Mean Volume, Mean Energy, Mean External Pressure 
0.0, 0.0, 0.0, 0.0 0.0 
0.01, 1.3274142635000001, 45.20983239, -72.75074176333334, -3.3836666666666666
0.015, 2.97992544575, 45.24157277999999, -72.74212597, -3.0843333333333334
0.02, 4.625318597500001, 45.27331317, -72.72982409000001, -2.791666666666667
0.03, 7.892174567, 45.33679394999999, -72.69405478666667, -2.2236666666666665
0.04, 11.123041617250003, 45.40027473, -72.64355636333333, -1.6816666666666666
0.05, 14.3215074615, 45.46375551, -72.57874074666667, -1.1633333333333333
0.06, 17.482067931, 45.52723629, -72.49971928333333, -0.6703333333333333
0.07, 20.602807706750003, 45.59071706, -72.40684361666666, -0.20166666666666666
0.08, 23.681670214000004, 45.65419784, -72.30033459666667, 0.24266666666666667
0.09000000000000001, 26.719824257750005, 45.717678619999994, -72.18086707666667, 0.6676666666666666
0.1, 29.712852618249997, 45.7811594, -72.04821117666667, 1.0663333333333334
0.11, 32.659782557, 45.84464018, -71.90283102666666, 1.4436666666666667
0.12000000000000001, 35.5479369915, 45.90812096, -71.75390803333333, 1.698
0.13, 38.391068371500005, 45.971601740000004, -71.58560482333333, 2.0126666666666666
0.13999999999999999, 41.181670945, 46.03508252, -71.40585401999999, 2.3073333333333332
0.15, 43.917573088500006, 46.0985633, -71.21450547666666, 2.576
0.16, 46.59470534775001, 46.16204408000001, -71.01236358, 2.8246666666666664
0.16999999999999998, 49.211171345000004, 46.22552486, -70.79942817, 3.051
0.18, 51.76597888525001, 46.28900564, -70.57616562333334, 3.257333333333333
0.19, 54.24754773425, 46.35248642, -70.34302197999999, 3.432666666666667
0.19999999999999998, 56.67206061300001, 46.41596719999999, -70.10011047, 3.5956666666666672
0.21, 59.026577081, 46.47944798, -69.84765177666667, 3.7359999999999998
0.22, 61.311773657, 46.54292876, -69.58626645333334, 3.8566666666666665
0.22999999999999998, 63.524428225499996, 46.606409539999994, -69.31605271666666, 3.9553333333333334
0.24, 65.664278696, 46.66989032, -69.03746064666667, 4.036666666666667
0.25, 67.72512576475002, 46.7333711, -68.75082427333332, 4.103
0.26, 69.56292519975, 46.79685188, -68.45658438666668, 4.161666666666667
0.27, 70.13131151500001, 46.86033265, -68.15814187000001, 4.3613333333333335
0.28, 71.23842197875, 46.92381343, -67.85950336666666, 4.466666666666667
0.29000000000000004, 72.7747885055, 46.987294209999995, -67.5546958, 4.4896666666666665
0.30000000000000004, 72.589077448, 47.05077499, -67.24482901333333, 4.608666666666666
0.31, 73.2123336975, 47.11425577, -66.93903162333332, 4.649333333333333
0.32, 73.451552042, 47.17773655, -66.62693775666666, 4.5343333333333335
0.33, 69.69410766924999, 47.241217330000005, -66.32240761666668, 4.08
0.34, 61.157869571250004, 47.30469811, -66.03155131333334, 1.669

