#T(K), Kl_SlackLow(W/mK), Kl_SlackSim(W/mK), Kl_CahillLow(W/mK), Cv(J/molK), S(J/molK), S_Debye(J/molK), H(eV), mpf(µm)
10.0000 0.0001 0.0000 0.0003 0.0054 0.0027 0.0000 -0.0000 67679.5651
20.0000 0.0005 0.0000 0.0013 0.0217 0.0109 0.0000 -0.0000 135178.1153
30.0000 0.0016 0.0000 0.0029 0.0489 0.0244 0.0001 -0.0000 202755.0450
40.0000 0.0038 0.0000 0.0052 0.0869 0.0435 0.0003 -0.0000 270357.2222
50.0000 0.0074 0.0000 0.0081 0.1358 0.0679 0.0006 -0.0001 337946.5288
60.0000 0.0128 0.0000 0.0117 0.1956 0.0978 0.0010 -0.0001 405535.8457
70.0000 0.0203 0.0000 0.0159 0.2662 0.1331 0.0016 -0.0002 473125.1341
80.0000 0.0303 0.0000 0.0208 0.3477 0.1739 0.0024 -0.0003 540714.4440
90.0000 0.0432 0.0000 0.0263 0.4401 0.2200 0.0035 -0.0004 608303.7438
100.0000 0.0593 0.0000 0.0325 0.5433 0.2717 0.0048 -0.0006 675892.9596
110.0000 0.0789 0.0000 0.0394 0.6574 0.3287 0.0063 -0.0007 743481.5938
120.0000 0.1024 0.0000 0.0468 0.7824 0.3912 0.0082 -0.0010 811067.4678
130.0000 0.1302 0.0000 0.0550 0.9182 0.4591 0.0104 -0.0012 878643.6011
140.0000 0.1626 0.0000 0.0637 1.0649 0.5324 0.0130 -0.0015 946192.4368
150.0000 0.2000 0.0000 0.0732 1.2224 0.6112 0.0160 -0.0019 1013677.4809
160.0000 0.2427 0.0000 0.0833 1.3909 0.6954 0.0195 -0.0023 1081033.5786
170.0000 0.2910 0.0000 0.0940 1.5701 0.7851 0.0234 -0.0028 1148157.8511
180.0000 0.3452 0.0000 0.1054 1.7603 0.8801 0.0277 -0.0033 1214903.3779
190.0000 0.4055 0.0000 0.1174 1.9613 0.9807 0.0326 -0.0039 1281077.0975
200.0000 0.4723 0.0000 0.1301 2.1732 1.0866 0.0381 -0.0045 1346442.4364
210.0000 0.5455 0.0000 0.1434 2.3960 1.1980 0.0441 -0.0052 1410726.2561
220.0000 0.6254 0.0000 0.1573 2.6296 1.3148 0.0507 -0.0060 1473629.0503
230.0000 0.7120 0.0000 0.1719 2.8741 1.4370 0.0580 -0.0068 1534837.0209
240.0000 0.8051 0.0000 0.1872 3.1294 1.5647 0.0660 -0.0078 1594034.6608
250.0000 0.9048 0.0000 0.2030 3.3956 1.6978 0.0747 -0.0088 1650916.6842
260.0000 1.0108 0.0000 0.2194 3.6692 1.8363 0.0842 -0.0099 1706842.5712
270.0000 1.1229 0.0000 0.2365 3.9453 1.9800 0.0945 -0.0111 1763465.3552
280.0000 1.2409 0.0000 0.2541 4.2283 2.1285 0.1056 -0.0123 1818289.3514
290.0000 1.3643 0.0000 0.2723 4.5175 2.2819 0.1176 -0.0137 1871243.6895
300.0000 1.4930 0.0000 0.2911 4.8121 2.4400 0.1306 -0.0152 1922280.8606
310.0000 1.6263 0.0000 0.3104 5.1114 2.6027 0.1445 -0.0167 1971374.9821
320.0000 1.7641 0.0000 0.3303 5.4148 2.7698 0.1595 -0.0184 2018519.5623
330.0000 1.9057 0.0000 0.3506 5.7215 2.9411 0.1755 -0.0201 2063725.0074
340.0000 2.0508 0.0000 0.3715 6.0307 3.1165 0.1926 -0.0219 2107016.0579
350.0000 2.1990 0.0000 0.3928 6.3417 3.2958 0.2108 -0.0239 2148429.2908
360.0000 2.3498 0.0000 0.4145 6.6540 3.4788 0.2302 -0.0259 2188010.7812
370.0000 2.5028 0.0000 0.4367 6.9669 3.6654 0.2508 -0.0281 2225813.9786
380.0000 2.6576 0.0000 0.4594 7.2797 3.8553 0.2726 -0.0303 2261897.8262
390.0000 2.8137 0.0000 0.4824 7.5919 4.0484 0.2956 -0.0327 2296325.1305
400.0000 2.9709 0.0000 0.5058 7.9030 4.2446 0.3200 -0.0352 2329161.1738
410.0000 3.1287 0.0000 0.5295 8.2125 4.4435 0.3456 -0.0377 2360472.5553
420.0000 3.2869 0.0000 0.5536 8.5198 4.6451 0.3725 -0.0404 2390326.2385
430.0000 3.4451 0.0000 0.5780 8.8247 4.8492 0.4008 -0.0432 2418788.7825
440.0000 3.6029 0.0000 0.6027 9.1267 5.0555 0.4304 -0.0461 2445925.7329
450.0000 3.7603 0.0000 0.6276 9.4256 5.2640 0.4613 -0.0491 2471801.1500
460.0000 3.9168 0.0000 0.6529 9.7209 5.4744 0.4936 -0.0522 2496477.2529
470.0000 4.0723 0.0000 0.6784 10.0125 5.6866 0.5273 -0.0554 2520014.1608
480.0000 4.2266 0.0000 0.7041 10.3001 5.9004 0.5623 -0.0587 2542469.7133
490.0000 4.3795 0.0000 0.7300 10.5835 6.1157 0.5987 -0.0621 2563899.3571
500.0000 4.5308 0.0000 0.7562 10.8625 6.3323 0.6365 -0.0656 2584356.0845
510.0000 4.6804 0.0000 0.7825 11.1370 6.5502 0.6756 -0.0692 2603890.4144
520.0000 4.8282 0.0000 0.8090 11.4068 6.7690 0.7161 -0.0729 2622550.4053
530.0000 4.9740 0.0000 0.8357 11.6720 6.9888 0.7580 -0.0767 2640381.6948
540.0000 5.1178 0.0000 0.8625 11.9323 7.2094 0.8012 -0.0807 2657427.5580
550.0000 5.2594 0.0000 0.8895 12.1878 7.4307 0.8457 -0.0847 2673728.9792
560.0000 5.3989 0.0000 0.9166 12.4384 7.6526 0.8915 -0.0888 2689324.7351
570.0000 5.5361 0.0000 0.9438 12.6840 7.8749 0.9387 -0.0930 2704251.4836
580.0000 5.6709 0.0000 0.9712 12.9247 8.0976 0.9871 -0.0973 2718543.8574
590.0000 5.8035 0.0000 0.9986 13.1605 8.3206 1.0369 -0.1017 2732234.5591
600.0000 5.9336 0.0000 1.0261 13.3914 8.5437 1.0878 -0.1062 2745354.4570
610.0000 6.0614 0.0000 1.0537 13.6174 8.7669 1.1401 -0.1108 2757932.6799
620.0000 6.1868 0.0000 1.0814 13.8386 8.9902 1.1935 -0.1155 2769996.7101
630.0000 6.3098 0.0000 1.1091 14.0549 9.2133 1.2482 -0.1203 2781572.4734
640.0000 6.4304 0.0000 1.1370 14.2666 9.4363 1.3041 -0.1251 2792684.4269
650.0000 6.5486 0.0000 1.1648 14.4735 9.6591 1.3611 -0.1301 2803355.6427
660.0000 6.6644 0.0000 1.1927 14.6758 9.8816 1.4193 -0.1351 2813607.8878
670.0000 6.7779 0.0000 1.2207 14.8735 10.1038 1.4786 -0.1403 2823461.7010
680.0000 6.8890 0.0000 1.2487 15.0668 10.3256 1.5390 -0.1455 2832936.4651
690.0000 6.9978 0.0000 1.2768 15.2557 10.5469 1.6006 -0.1508 2842050.4760
700.0000 7.1043 0.0000 1.3048 15.4402 10.7678 1.6632 -0.1562 2850821.0073
710.0000 7.2085 0.0000 1.3329 15.6205 10.9881 1.7268 -0.1617 2859264.3723
720.0000 7.3105 0.0000 1.3610 15.7966 11.2078 1.7915 -0.1672 2867395.9812
730.0000 7.4104 0.0000 1.3892 15.9687 11.4269 1.8572 -0.1729 2875230.3960
740.0000 7.5080 0.0000 1.4173 16.1367 11.6453 1.9238 -0.1786 2882781.3811
750.0000 7.6035 0.0000 1.4455 16.3009 11.8630 1.9915 -0.1844 2890061.9522
760.0000 7.6970 0.0000 1.4737 16.4612 12.0799 2.0601 -0.1902 2897084.4203
770.0000 7.7884 0.0000 1.5019 16.6178 12.2962 2.1296 -0.1962 2903860.4349
780.0000 7.8777 0.0000 1.5300 16.7707 12.5116 2.2000 -0.2022 2910401.0233
790.0000 7.9651 0.0000 1.5582 16.9200 12.7262 2.2713 -0.2083 2916716.6278
800.0000 8.0506 0.0000 1.5864 17.0659 12.9399 2.3435 -0.2145 2922817.1404
