#SurfaceTension (N/m)	Enthalpy(eV)	Strain	Stress(N/m)
-0.0025284226766602107	-18.57512377666667	0.01	4.206581884
0.0035655233861883427	-18.529714633333338	0.015	5.934275482
0.0020062784928335546	-18.588797261666674	0.02	7.613513626
-0.006627818294510981	-18.60452907333333	0.03	10.823631952
-0.008507796291732941	-18.574359005	0.04	13.8343923
-0.010261435816988526	-18.534053773333337	0.05	16.64627018
-0.011905211962488836	-18.484168906666667	0.06	19.252586870000002
-0.013388035454309485	-18.425123759999998	0.07	21.643220556000003
-0.0227200218188453	-18.400109965	0.08	23.80586861
-0.015932703149764228	-18.199218056666666	0.09000000000000001	25.736429842000003
-0.008967446585756047	-18.15986583666667	0.1	27.332735964
-0.017777036223705082	-18.114478169999998	0.11	28.608545336
-0.018363801606154678	-18.022107921666667	0.12000000000000001	29.4990954
-0.018593222146750313	-17.925353029999997	0.13	30.003824354000002
-0.018831199709538476	-17.828729456666665	0.13999999999999999	30.220207364
-0.018930154697786618	-17.72878089	0.15	30.265800944000002
-0.018786211337046214	-17.629103675	0.16	30.354765880000002
-0.018916957597951443	-17.530838671666668	0.16999999999999998	30.50586252
-0.019057910004265332	-17.431284708333333	0.18	30.697349975999998
-0.01911349314686596	-17.331139229999998	0.19	30.781876422
-0.019135192836118028	-17.23037178	0.19999999999999998	30.770291334000003
-0.01904583953629489	-17.129234443333335	0.21	30.613478268
-0.01878834117762349	-17.02793776166667	0.22	30.242748654000003
-0.01859978699265341	-16.928990186666667	0.22999999999999998	29.623209878
