#Strain	Work Hardening Rate
0.01	140.02331720000004
0.015	140.00880999999993
0.02	139.74532440000004
0.03	139.25772625000005
0.04	138.89211375
0.05	138.66390395000005
0.06	138.25706070000004
0.07	137.90745489999992
0.08	137.56094194999997
0.09000000000000001	137.27572289999992
0.1	137.08693520000003
0.11	136.9865952500001
0.12000000000000001	137.02928334999987
0.13	137.24689370000007
0.13999999999999999	137.4616049500001
0.15	137.76506594999992
0.16	138.3709449500002
0.16999999999999998	138.91487575000016
0.18	138.65511354999984
0.19	138.55411965000008
0.19999999999999998	138.81919010000016
0.21	138.40573649999973
0.22	137.60777534999994
0.22999999999999998	136.41002600000013
0.24	134.68398644999968
0.25	132.50048574999968
0.26	129.93043635000015
0.27	126.95283415000016
0.28	123.6848362499997
0.29000000000000004	119.99349469999981
0.30000000000000004	115.9336329500006
0.31	112.04846900000035
0.32	107.01431935000006
0.33	101.78802044999982
0.34	97.88487399999957
0.35000000000000003	92.44679260000011
0.36000000000000004	85.55497564999996
0.37000000000000005	78.70277864999991
0.38	71.02011915000026
0.39	62.311018599999755
0.4	52.88930889999998
0.41000000000000003	42.5890706500002
0.42000000000000004	31.39826739999944
0.43000000000000005	19.670085200000322
0.44	7.513158900000164
0.45	-4.499244250000341
0.46	-16.075435499999443
0.47000000000000003	-26.884221199999534
0.48000000000000004	-36.32594635000036
0.49000000000000005	-40.69958030000077
