#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
5.3454	-330.9907	1.9313	4.6453
5.3718	-327.8418	3.0136	6.2758
5.4244	-311.9744	5.2060	9.3962
5.4771	-296.3483	5.4652	12.3335
5.5298	-280.8777	5.8316	15.0952
5.5824	-265.2260	6.2394	17.6836
5.6351	-249.7182	6.6575	20.0995
5.6878	-234.2267	7.2138	22.3512
5.7404	-218.5349	7.8491	24.4370
5.7931	-202.8545	8.7109	26.3610
5.8457	-186.5787	9.8959	28.1253
5.8984	-169.7997	11.1739	29.7228
5.9511	-152.9055	12.7731	31.1574
6.0037	-135.5384	14.8879	32.4291
6.0564	-117.8851	17.6038	33.5353
6.1091	-99.9418	21.6951	34.4793
6.1617	-81.3104	28.1161	35.2584
6.2144	-62.1247	39.2223	35.8692
6.2671	-42.2816	64.7390	36.3114
6.3197	-21.6652	191.0554	36.5798
6.3724	-0.3141	-9004.8912	36.6725
6.4251	24.7969	-242.2426	36.5850
6.4777	49.7872	-68.2692	36.2660
6.5304	75.6906	-40.1757	35.7755
6.5830	91.2911	-21.3610	35.0451
