# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	0.000000	104.694763	-18.618720	-0.097200
0.015000	0.000000	104.377611	-18.609355	-0.144000
0.020000	0.000000	104.060236	-18.595905	-0.192067
0.030000	-2.425503	103.424521	-18.527876	-0.303533
