#Strain	Work Hardening Rate
0.0	24.364086885688224
0.01	144.69855113104978
0.015	337.7256577404698
0.02	315.22240033120147
0.03	308.5310368921866
0.04	285.84170277503677
0.05	271.35491479285315
0.06	253.95730712941202
0.07	240.17795791241628
0.08	215.80963698426845
0.09000000000000001	208.69171139625507
0.1	194.53580663953156
0.11	166.34905273698928
0.12000000000000001	169.60744118474975
0.13	144.0155350663842
0.13999999999999999	109.88549167333184
0.15	111.58059281814276
0.16	111.51149489606566
0.16999999999999998	96.11689220978268
0.18	83.68915508262866
0.19	83.94634541992514
0.19999999999999998	64.28650026893446
0.21	44.0856280097758
0.22	17.49184510655582
0.22999999999999998	25.38613497567505
0.24	8.890135424111982
0.25	-4.002186327869591
0.26	5.560698252856961
0.27	2.327465360210821
0.28	-15.102616104943664
0.29000000000000004	-36.34278594752512
0.30000000000000004	-4.040573311210957
0.31	7.203143939473511
