#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
5.3180	-526.8439	-4.5036	4.7772
5.3337	-533.8476	-5.6136	6.3323
5.3628	-556.7242	-8.1965	9.2930
5.3885	-580.1617	-9.4692	12.0096
5.4109	-605.2220	-10.7404	14.4597
5.4297	-629.1549	-9.9236	16.5989
5.4448	-644.9268	7.4012	18.3763
5.4561	-618.4323	215.1129	19.7206
5.4634	-352.3877	688.4493	20.5227
5.4666	-244.5167	752.2327	20.6661
