#Strain	Work Hardening Rate
0.01	333.65712560000003
0.015	328.78199560000013
0.02	315.28252013333343
0.03	299.9188866
0.04	278.4750572999999
0.05	257.4085787000001
0.06	235.47423570000015
0.07	212.47638339999992
0.08	188.11099039999985
0.09000000000000001	164.02900480000002
0.1	139.84636109999994
0.11	115.78201999999978
0.12000000000000001	94.84070910000015
0.13	76.1173763000003
0.13999999999999999	59.22289739999996
0.15	43.924642799999845
0.16	29.14537270000023
0.16999999999999998	14.364123700000071
0.18	-1.2929933000002325
0.19	-18.71790640000005
0.19999999999999998	-35.13918460000004
0.21	-57.474589100000046
0.22	-72.6801974
