#SurfaceTension (N/m)	Enthalpy(eV)	Strain	Stress(N/m)
-0.0008638098359696717	-18.61572315999999	0.01	3.08529866676671
-0.0011489914152479266	-18.612670083333335	0.015	4.716117344045224
-0.0029466316239461837	-18.614587883333336	0.02	6.299423609220377
-0.005457540389020614	-18.604308489999998	0.03	9.327917916542743
-0.007348797064155238	-18.580223108333332	0.04	12.175345220269126
-0.00908175338797553	-18.545880853333333	0.05	14.847951299809456
-0.010695694636051266	-18.502044686666665	0.06	17.357749115918363
-0.01218379576919105	-18.44937886333333	0.07	19.701946398064283
-0.013561295384411007	-18.388591488333333	0.08	21.885346579862915
-0.014829600690004227	-18.320229443333332	0.09000000000000001	23.911799326311613
-0.016014893972892366	-18.24504372666667	0.1	25.78628679472131
-0.017120938528161805	-18.163317355	0.11	27.509836837477767
-0.018149626427120043	-18.07563344833333	0.12000000000000001	29.092762281506477
-0.01910719392416519	-17.982268105000003	0.13	30.529303335474243
-0.019986991920625904	-17.883693568333335	0.13999999999999999	31.825435686047566
-0.02080303279969108	-17.780297133333335	0.15	32.98233290777578
-0.0215638804741004	-17.672483443333334	0.16	34.01528483863665
-0.022273457438261025	-17.560496181666664	0.16999999999999998	34.898017234953464
-0.022928508318734542	-17.444636235000004	0.18	35.67427999885712
-0.02353479240369437	-17.325191331666666	0.19	36.314806772422045
-0.024107492380869646	-17.202498868333333	0.19999999999999998	36.836145188754806
-0.024671977167630726	-17.076789821666665	0.21	37.24352652760431
-0.025237056740747672	-16.948100249999996	0.22	37.54267566639205
-0.02009278618758813	-16.786306324999998	0.22999999999999998	37.74544308343447
-0.01914499081242317	-16.703920716666666	0.24	37.899022999137664
-0.03179030762745545	-16.645993751666666	0.25	37.945078992086174
-0.03380168492918205	-16.445778325	0.26	37.925910134675874
-0.027980563928059917	-16.269189286666666	0.27	37.85572757273299
-0.028642814155654575	-16.123284496666667	0.28	37.743017800235265
-0.028971064205503702	-15.972153426666665	0.29000000000000004	37.58990393235356
