#Strain	Work Hardening Rate
0.01	326.1637354557028
0.015	321.4124942453667
0.02	307.45337149983465
0.03	293.7960805524374
0.04	276.0016691633356
0.05	259.1201947824619
0.06	242.69975491274133
0.07	226.37987319722757
0.08	210.49264641236644
0.09000000000000001	195.0470107429197
0.1	179.9018755583078
0.11	165.32377433925834
0.12000000000000001	150.97332489982375
0.13	136.6336702270546
0.13999999999999999	122.65147861507681
0.15	109.49245762945425
0.16	95.78421635888436
0.16999999999999998	82.94975801102358
0.18	70.839476873429
0.19	58.09325949488414
0.19999999999999998	46.43598775911324
0.21	35.32652388186219
0.22	25.0958277915082
0.22999999999999998	17.817366637280696
0.24	9.981795432585008
0.25	1.3443567769105147
0.26	-4.467570967659281
0.27	-9.144616722030454
0.28	-13.291182018971513
0.29000000000000004	-15.311386788170708
