#Strain	Work Hardening Rate
0.01	741.0000000000008
0.015	741.0000000000002
0.02	724.933333333333
0.03	715.2999999999998
0.04	697.1000000000003
0.05	676.2500000000003
0.06	665.7999999999996
0.07	644.45
0.08	627.4499999999998
0.09000000000000001	611.5999999999995
0.1	589.8000000000006
0.11	578.4000000000005
0.12000000000000001	563.4499999999995
0.13	545.85
0.13999999999999999	530.5500000000012
0.15	514.5000000000006
0.16	498.84999999999974
0.16999999999999998	484.1999999999994
0.18	467.5
0.19	453.3500000000006
0.19999999999999998	442.1999999999992
0.21	424.0999999999989
0.22	408.54999999999984
0.22999999999999998	396.8000000000005
0.24	383.3000000000009
0.25	366.85000000000053
0.26	353.4500000000005
0.27	340.6499999999991
0.28	324.849999999999
0.29000000000000004	312.3000000000002
0.30000000000000004	297.14999999999975
0.31	284.3999999999999
0.32	270.3000000000015
0.33	252.3000000000008
0.34	239.69999999999894
0.35000000000000003	228.94999999999877
0.36000000000000004	212.29999999999885
0.37000000000000005	193.70000000000155
0.38	186.35000000000053
0.39	174.44999999999865
0.4	157.25000000000037
0.41000000000000003	143.7499999999999
0.42000000000000004	128.9999999999991
0.43000000000000005	114.30000000000028
0.44	108.15000000000074
0.45	46.899999999999366
0.46	-77.74999999999885
0.47000000000000003	-140.6499999999993
0.48000000000000004	-138.8000000000004
0.49000000000000005	-135.49999999999886
