#Volume (Å³)	Bulk_Modulus (GPa)	Bp	Stress (GPa)
47.6742	-inf	nan	6.6600
47.6742	-inf	nan	8.8490
47.6742	-inf	nan	13.2550
47.6742	-inf	nan	17.7040
47.6742	-inf	nan	22.1130
47.6742	-inf	nan	26.5200
47.6742	-inf	nan	30.9300
47.6742	-inf	nan	35.3610
47.6742	-inf	nan	39.7500
47.6742	-inf	nan	44.1430
47.6742	-inf	nan	48.5440
47.6742	-inf	nan	52.9330
47.6742	-inf	nan	57.3100
47.6742	-inf	nan	61.6790
47.6742	-inf	nan	66.0390
47.6742	-inf	nan	70.4140
47.6742	-inf	nan	74.7510
47.6742	-inf	nan	79.0830
47.6742	-inf	nan	83.3990
47.6742	-inf	nan	87.7000
47.6742	-inf	nan	92.0200
47.6742	-inf	nan	96.2820
47.6742	-inf	nan	100.5560
47.6742	-inf	nan	104.7780
47.6742	-inf	nan	108.9750
47.6742	-inf	nan	113.1520
47.6742	-inf	nan	117.3120
47.6742	-inf	nan	121.4410
47.6742	-inf	nan	125.5080
47.6742	-inf	nan	129.5400
47.6742	-inf	nan	133.5520
47.6742	-inf	nan	136.9820
47.6742	-inf	nan	139.7430
47.6742	-inf	nan	143.4750
47.6742	-inf	nan	147.0760
47.6742	-inf	nan	150.7820
47.6742	-inf	nan	154.4040
47.6742	-inf	nan	157.9740
47.6742	-inf	nan	161.4820
47.6742	-inf	nan	162.4280
47.6742	-inf	nan	161.7350
47.6742	-inf	nan	163.4720
47.6742	-inf	nan	163.7330
47.6742	-inf	nan	165.5030
47.6742	-inf	nan	164.7410
47.6742	inf	inf	167.8970
47.6742	inf	nan	162.9550
47.6742	inf	nan	162.2530
47.6742	inf	nan	151.7660
47.6742	inf	nan	154.4900
47.6742	inf	nan	150.9500
47.6742	inf	nan	152.3420
47.6742	inf	nan	143.2640
47.6742	inf	nan	137.3090
47.6742	inf	-inf	136.0300
47.6742	-inf	nan	137.2370
47.6742	inf	inf	137.8380
47.6742	inf	nan	136.5380
47.6742	inf	nan	135.6910
47.6742	inf	nan	135.6230
47.6742	inf	nan	134.7630
