#Strain	Work Hardening Rate
0.01	824.4000000000001
0.015	813.3000000000003
0.02	760.2666666666667
0.03	713.05
0.04	654.4
0.05	594.6500000000001
0.06	543.2500000000003
0.07	494.6499999999999
0.08	451.5499999999995
0.09000000000000001	411.25000000000034
0.1	369.40000000000043
0.11	333.7499999999998
0.12000000000000001	302.7999999999998
0.13	269.6500000000004
0.13999999999999999	241.10000000000025
0.15	213.99999999999986
0.16	186.2499999999998
0.16999999999999998	163.2500000000001
0.18	139.8000000000002
0.19	117.19999999999976
0.19999999999999998	99.65000000000052
0.21	80.6499999999999
0.22	61.99999999999977
0.22999999999999998	47.89999999999994
0.24	32.34999999999954
0.25	18.55000000000045
0.26	6.649999999999772
0.27	-6.9499999999997835
0.28	-20.59999999999958
0.29000000000000004	-30.200000000000642
0.30000000000000004	-39.75000000000016
0.31	-45.800000000000054
