#Volume (Å³)	Bulk_Modulus (GPa)	Bp	Stress (GPa)
48.3893	-752.1196	1.2116	19.4590
48.6277	-747.6306	1.3158	23.1640
49.1044	-736.7520	1.5838	30.3330
49.5812	-724.9767	1.9269	37.4700
50.0579	-710.0669	1.4117	44.2750
50.5347	-705.7523	1.5565	50.9950
51.0114	-689.5657	2.1680	57.5910
51.4882	-677.6396	1.8267	63.8840
51.9649	-666.6373	2.3872	70.1400
52.4416	-648.7840	2.0621	76.1160
52.9184	-642.0280	1.5361	81.9360
53.3951	-631.0679	2.2519	87.6840
53.8719	-616.8049	2.4001	93.2050
54.3486	-604.8211	2.3730	98.6010
54.8254	-591.6787	2.5420	103.8160
55.3021	-578.6696	2.5205	108.8910
55.7788	-566.5175	2.7976	113.7930
56.2556	-551.6533	2.8814	118.5750
56.7323	-539.4815	2.3128	123.1430
57.2091	-530.6348	3.0115	127.6420
57.6858	-513.1642	3.7851	131.9870
58.1625	-498.4340	3.0590	136.1240
58.6393	-488.0670	2.9283	140.1580
59.1160	-475.2877	3.8704	144.0600
59.5928	-458.5579	4.0609	147.8240
60.0695	-445.3497	3.6675	151.3970
60.5463	-432.6281	4.3733	154.8930
61.0230	-415.8105	4.5602	158.2100
61.4997	-402.8634	4.7505	161.3900
61.9765	-386.2910	5.0778	164.4560
62.4532	-372.5663	5.1948	167.3330
62.9300	-356.7982	6.9481	170.1440
63.4067	-335.5610	6.9894	172.7390
63.8834	-321.1952	5.5084	175.1900
64.3602	-309.0794	7.1819	177.5330
64.8369	-288.7298	10.4283	179.7690
65.3137	-265.3706	7.8759	181.7790
65.7904	-257.1646	6.1418	183.6430
66.2672	-242.4837	11.0074	185.5060
66.7439	-220.1477	12.5771	187.1320
67.2207	-202.6888	13.0219	188.6510
67.6974	-183.1811	15.2975	190.0070
68.1741	-163.4500	11.3789	191.2310
68.6509	-155.7344	42.8221	192.2930
69.1276	-68.0015	-1320.9649	193.3940
69.6044	113.5157	-1003.8927	193.2310
70.0811	206.7568	-33.3734	191.8390
70.5578	205.4253	1.7906	190.4180
71.0346	201.8962	2.6044	189.0630
