# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	3.881976	106.381999	-18.601108	1.254000
0.020000	7.169838	107.435286	-18.582570	2.577333
0.030000	10.279265	108.488573	-18.555547	3.828667
0.040000	13.168369	109.541860	-18.520020	4.999333
0.050000	15.849911	110.595147	-18.475990	6.086000
0.060000	18.316264	111.648434	-18.423478	7.083333
0.070000	20.558344	112.701721	-18.362693	7.988667
0.080000	22.565990	113.755009	-18.293909	8.798667
0.090000	24.320703	114.808296	-18.217827	9.508667
0.100000	25.846310	115.861583	-18.135205	10.122000
0.110000	27.117323	116.914870	-18.046891	10.638000
0.120000	28.161823	117.968157	-17.953444	11.060000
0.130000	29.015059	119.021444	-17.855617	11.398000
0.140000	29.684862	120.074731	-17.753876	11.653333
0.150000	30.198076	121.128018	-17.648738	11.835333
0.160000	30.562425	122.181305	-17.540841	11.949333
0.170000	30.781400	123.234593	-17.430867	12.000667
0.180000	30.849996	124.287880	-17.319506	11.990000
0.190000	30.755989	125.341167	-17.207716	11.920000
0.200000	30.475915	126.394454	-17.096472	11.790000
0.210000	30.053283	127.447741	-17.038171	10.380667
0.220000	29.326514	128.501028	-16.942854	9.912000
0.230000	28.317636	129.554315	-16.877078	11.094000
# Energy Storage Capacity at max strain 0.18000000000000002 is 4.047 MJ/L or 509.124 Wh/Kg, Thickness 3.43 Ang 
# Estimated yield strength: 3.567396 N/m # Tensile_y ultimate strength: 30.849996 N/m
