#Strain	Work Hardening Rate
0.0	46.65011631069954
0.01	127.8191893044757
0.015	314.5298485162438
0.02	318.2880205734427
0.03	307.72102234524283
0.04	292.4646927703588
0.05	263.1502265429981
0.06	250.47715360942263
0.07	243.05512540005503
0.08	214.86994907040412
0.09000000000000001	209.53856747847772
0.1	196.49236201445845
0.11	178.25389030487864
0.12000000000000001	168.2792339108907
0.13	150.32008092457653
0.13999999999999999	137.37445445545643
0.15	98.49650051038745
0.16	88.47846275427824
0.16999999999999998	114.2459227461942
0.18	88.6811203274525
0.19	68.90660063493182
0.19999999999999998	62.04304017839422
0.21	25.669947212573142
0.22	25.611670952002555
0.22999999999999998	47.66311199089552
0.24	8.077146836108888
0.25	-8.339926337866636
0.26	-22.373267375859008
0.27	-39.081812539351866
0.28	20.71039290731738
0.29000000000000004	-0.9217660548081589
0.30000000000000004	-61.63969065352977
0.31	-34.973398012557475
0.32	0.3338927890069951
