# Strain	Stress (N/m)	Mean Volume (A^3)	Mean Energy(eV)	Mean Temperature (K)	Mean Pressure (N/m)
0.0	0.0	0.0	0.0	0.0	0.0
0.000000	0.000000	0.000000	0.000000	274.022333	0.000000
0.010000	0.466501	425.527995	-74.231499	293.676000	-0.013546
0.015000	1.917288	427.634569	-74.133563	287.044667	0.030865
0.020000	3.611800	429.741143	-74.265457	255.273333	0.103042
0.030000	6.691608	433.954292	-74.074356	298.993000	0.219292
0.040000	9.766220	438.167440	-73.952095	255.393333	0.336553
0.050000	12.540902	442.380589	-73.859290	302.841667	0.438719
0.060000	15.029225	446.593737	-73.763749	292.061667	0.555306
0.070000	17.550445	450.806886	-73.418305	284.243333	0.652283
0.080000	19.890327	455.020034	-73.167095	293.321333	0.750742
0.090000	21.847844	459.233183	-72.939212	306.175000	0.828377
0.100000	24.081098	463.446331	-72.724438	298.465000	0.928117
0.110000	25.777691	467.659480	-72.322339	297.944667	1.001978
0.120000	27.646176	471.872628	-71.815151	283.211333	1.076513
0.130000	29.143276	476.085776	-71.544988	293.443667	1.132111
0.140000	30.652578	480.298925	-71.118975	301.010000	1.162841
0.150000	31.890765	484.512073	-70.720308	285.254333	1.260290
0.160000	32.622508	488.725222	-70.268436	287.345000	1.255235
0.170000	33.660334	492.938370	-69.907632	318.181667	1.303555
0.180000	34.907426	497.151519	-69.525774	313.999667	1.338396
0.190000	35.433957	501.364667	-69.011293	301.019667	1.382605
0.200000	36.285558	505.577816	-68.582367	290.164333	1.390423
0.210000	36.674818	509.790964	-68.058530	314.922667	1.443392
0.220000	36.798957	514.004113	-67.561076	304.763000	1.369396
0.230000	37.187051	518.217261	-66.988335	274.891667	1.388468
0.240000	37.752220	522.430410	-66.608757	298.526333	1.440966
0.250000	37.348594	526.643558	-65.960506	306.812333	1.457208
0.260000	37.585421	530.856706	-65.480000	339.295667	1.330781
0.270000	36.901129	535.069855	-64.980451	320.321000	1.380583
0.280000	36.803785	539.283003	-64.610881	326.763333	1.392984
0.290000	37.315336	543.496152	-64.016695	285.539000	1.442179
0.300000	36.785349	547.709300	-63.543220	337.033000	1.216148
0.310000	36.082543	551.922449	-63.093066	291.937333	1.275587
0.320000	36.085882	556.135597	-62.611376	0.000000	1.260896
# Energy Storage Capacity at max strain 0.2400 is 6.604 MJ/L or 830.711 Wh/Kg, Thickness 3.43 Å 
# Estimated Young modulus (E) is 269.059266 N/m
# Estimated Stiffness constant (E-A) (K) is 4067.203186 N/m
# Estimated Stiffness constant (P-A) (K) is 313.016476 N/m
# Estimated Bp (E-A) (K) is 7.325960 
# Estimated Bp (P-A) (K) is 7.403180 
# Estimated Yield strength using 0.002 offset is 12.540902 N/m
# Estimated Shear modulus (G) is 99.156642 N/m
# Estimated First Lamé parameter (lambda) is 246.912048 N/m
# Estimated Second Lamé parameter (mu) is 99.156642 N/m
# Estimated Resilience is 0.091406 J/m^3
# Estimated Toughness is 2.550185 J/m^3
# Estimated Ductility(%) is 24.000 %
# Estimated Ductility Index(%) is 380.000 %
# Estimated Poisson's ratio (v) is 0.356738 
# Estimated Grüneisen parameter (gamma) is 2.188795
# Estimated Longitudinal sound velocity (V_l) is 23.329212 km/s
# Estimated Shear sound velocity (V_s) is 11.442506 km/s
# Estimated Mean sound velocity (V_m) is 14.528656 km/s
# Estimated Pwave velocity (V_p) is 24.246562 km/s
# Estimated Debye temperature (T_D) is 2423.712307 K
# Estimated Min thermal Conductivity (Slack) is 4.467238 W/mK
# Estimated Min thermal  Conductivity (Clarke) is 4.299025 W/mK
# Estimated Min thermal  Conductivity (Cahill) is 12.470559 W/mK
# Estimated Integrated min thermal  Conductivity (Slack) is 1.631386 W/mK
# Tensile_x ultimate strength: 37.752220 N/m
