#SurfaceTension (N/m)	Enthalpy(eV)	Strain	Stress(N/m)
14.095206785278648	74.23149852666667	0.0	0.0
7.038305330552982	-37.16471690833334	0.01	0.46650116310699535
0.0032240180429864763	-74.11658415333332	0.015	1.9172878395671353
-0.005621166577448873	-74.29506020500001	0.02	3.6117996482694337
-0.02975086835784643	-74.23103724500001	0.03	6.691608148168775
-0.02041854875572329	-74.05962760166668	0.04	9.76622009517429
-0.017881724472433656	-73.95346322	0.05	12.540902003575951
-0.041867565193780654	-73.98424156499999	0.06	15.029224626034251
-0.056646834868470365	-73.71663150666669	0.07	17.550445075764404
-0.045485479633741895	-73.40664126500002	0.08	19.890327134035353
-0.04202624494100664	-73.160540415	0.09000000000000001	21.847844057172487
-0.05856648840118271	-73.03287453166666	0.1	24.081098483604908
-0.08632849227814433	-72.77698207	0.11	25.777691297461654
-0.07380234171705516	-72.203826285	0.12000000000000001	27.64617628970248
-0.06609554850168119	-71.89307601833335	0.13	29.14327597567947
-0.0782958502717842	-71.53131516166665	0.13999999999999999	30.652577908194008
-0.08075094280436267	-71.14557760500001	0.15	31.890765064788596
-0.07715615216382336	-70.67477373833334	0.16	32.62250791840176
-0.07050900987328369	-70.27896331499998	0.16999999999999998	33.66033431987416
-0.08509919751741366	-69.97394295833331	0.18	34.90742637332564
-0.0895678492852989	-69.48299658166667	0.19	35.43395672642321
-0.09045614838790929	-69.05874837833332	0.19999999999999998	36.28555838602428
-0.09696227278212208	-68.56917588	0.21	36.674817529991095
-0.10160531131552532	-68.09617360000001	0.22	36.79895733027574
-0.09041394527033535	-67.46449388166667	0.22999999999999998	37.187050949031146
-0.09758296932031323	-67.12267175833334	0.24	37.75221957009365
-0.1071651938748928	-66.52488441	0.25	37.348593885753324
-0.09304728834555481	-65.97002770666666	0.26	37.58542104333632
-0.08251492621557717	-65.41501026333334	0.27	36.901128538236144
-0.09149979481304688	-65.09275884499999	0.28	36.80378479254928
-0.10136465043955514	-64.55052557166667	0.29000000000000004	37.31533639638249
-0.08769016784736676	-64.00503488666668	0.30000000000000004	36.78534947145312
-0.08847006630759013	-63.558987834999996	0.31	36.0825425833119
-0.09146403976320308	-63.093065929999995	0.32	36.08588151120197
