#Area  (Å²)	Stiffness_Const (N/m)	Bp	Stress (N/m)
21.2764	-293.0589	-18.0515	0.4665
21.3817	-319.2478	-14.0585	1.9173
21.4871	-335.1671	-3.9612	3.6118
21.6977	-316.9527	5.0362	6.6916
21.9084	-304.1633	7.2502	9.7662
22.1190	-276.3077	7.0351	12.5409
22.3297	-265.5058	3.2559	15.0292
22.5403	-260.0690	7.2465	17.5504
22.7510	-232.0595	6.4714	19.8903
22.9617	-228.3970	3.5604	21.8478
23.1723	-216.1416	8.4920	24.0811
23.3830	-197.8618	8.0383	25.7777
23.5936	-188.4727	9.1368	27.6462
23.8043	-169.8617	10.6141	29.1433
24.0149	-156.6069	23.1843	30.6526
24.2256	-113.2710	22.1367	31.8908
24.4363	-102.6350	-3.8401	32.6225
24.6469	-133.6677	-5.7492	33.6603
24.8576	-104.6437	37.1492	34.9074
25.0682	-81.9989	29.9621	35.4340
25.2789	-74.4516	79.2824	36.2856
25.4895	-31.0606	25.8200	36.6748
25.7002	-31.2462	-18.2302	36.7990
25.9109	-58.6256	-6.8102	37.1871
26.1215	-10.0157	-392.0766	37.7522
26.3322	10.4249	253.4265	37.3486
26.5428	28.1903	131.3020	37.5854
26.7535	49.6339	680.8917	36.9011
26.9642	-26.5093	953.3131	36.8038
27.1748	1.1891	5689.7909	37.3153
27.3855	80.1316	-63.9250	36.7853
27.5961	45.8152	-13919.8789	36.0825
27.8068	-0.4407	-13853.5157	36.0859
