#Strain	Work Hardening Rate
0.01	1069.403711400001
0.015	1051.166696
0.02	1000.1038701999998
0.03	950.5230992999999
0.04	885.6799923999998
0.05	823.6789104500002
0.06	764.1361130500001
0.07	706.9395477999999
0.08	652.2159821000001
0.09000000000000001	598.3159441499998
0.1	546.4850846999997
0.11	498.03039694999984
0.12000000000000001	451.3852991500001
0.13	406.4440821500012
0.13999999999999999	363.2108220000001
0.15	321.67675159999874
0.16	281.9867947
0.16999999999999998	244.24288800000025
0.18	208.63037345000046
0.19	173.8157838500002
0.19999999999999998	139.80537244999957
0.21	107.7622062500004
0.22	76.72571324999997
0.22999999999999998	44.17014730000022
0.24	12.888511500000266
0.25	-15.735421600000862
0.26	-45.459738199999535
0.27	-76.7362355499997
0.28	-92.81540480000095
