Component: Tensile_x
Strain, Stress, Mean Volume, Mean Pressure 
0.0, 0.0, 0.0, 0.0 
0.01, 13.022253577999999, 23.06886434, 48.92666666666667
0.02, 23.681173012000002, 23.29726893, 87.95666666666666
0.03, 33.660846403, 23.525673529999995, 124.50333333333333
0.04, 42.979376525, 23.75407813, 158.56333333333336
0.05, 51.65363928100001, 23.98248273, 190.22000000000003
0.060000000000000005, 59.714090172, 24.21088732, 219.59666666666666
0.06999999999999999, 67.177227341, 24.43929192, 246.74
0.08, 74.086190238, 24.667696520000003, 271.7733333333333
0.09, 80.453903952, 24.89610112, 294.7366666666666
0.09999999999999999, 86.296761864, 25.124505710000005, 315.73333333333335
0.11, 91.63829691400001, 25.35291031, 334.78333333333336
0.12, 96.48123571, 25.58131491, 352.3966666666667
0.13, 100.86891975200001, 25.809719509999997, 368.06333333333333
0.14, 104.80820578600002, 26.0381241, 382.0933333333333
0.15000000000000002, 108.327644371, 26.2665287, 394.55
0.16, 111.433622846, 26.4949333, 405.46
0.17, 114.149716447, 26.7233379, 414.91
0.18000000000000002, 116.492683935, 26.95174249, 422.99333333333334
0.19, 118.478840485, 27.180147090000002, 429.76
0.2, 120.13300788, 27.40855169, 435.2733333333333
0.21000000000000002, 121.444591915, 27.63695629, 439.55
0.22, 122.440270889, 27.86536088, 442.6766666666667
0.23, 123.13105377700002, 28.09376548, 444.6966666666667
0.24000000000000002, 123.50661014299999, 28.322170079999996, 445.49333333333334
0.25, 123.593760426, 28.55057468, 445.22666666666663
0.26, 123.38801294400001, 28.778979269999997, 443.87000000000006
0.27, 122.878199252, 29.00738387, 441.36666666666673
0.28, 121.985644568, 29.23578847, 438.97333333333336
0.29000000000000004, 120.821236716, 29.46419306, 434.2033333333334

