#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress
0.0	-36.32856936333334	0.01	4.6307632285
0.0	-36.32425102333334	0.015	6.9447138310000005
0.0	-36.31826125	0.02	9.2582272225
0.0	-36.30112551333334	0.03	13.880455118499999
0.0	-36.28300654666667	0.04	18.500037104
0.0	-36.253212356666666	0.05	23.0955470385
0.0	-36.21673520666666	0.06	27.6701801115
0.0	-36.17389902666667	0.07	32.219439182
0.0	-36.12451810666667	0.08	36.7441750125
0.0	-36.06867595	0.09000000000000001	41.2349591445
0.0	-36.006391210000004	0.1	45.6858064725
0.0	-35.93780393333333	0.11	50.096321764500004
0.0	-35.86302786666667	0.12000000000000001	54.456613825000005
0.0	-35.78192039666666	0.13	58.7655906675
0.0	-35.694640920000005	0.13999999999999999	63.0170135785
0.0	-35.601433140000005	0.15	67.207593808
0.0	-35.50210308333333	0.16	71.3278940145
0.0	-35.39712948	0.16999999999999998	75.37165631150002
0.0	-35.286388206666665	0.18	79.333319089
0.0	-35.16994229	0.19	83.203056724
0.0	-35.04833253333334	0.19999999999999998	86.98016534250002
0.0	-34.92127548666667	0.21	90.64456211550001
0.0	-34.78892628333333	0.22	94.18987115200001
0.0	-34.65161536666667	0.22999999999999998	97.606740382
0.0	-34.50964877	0.24	100.87964084200001
0.0	-34.36295717666667	0.25	103.9929529365
0.0	-34.21190526	0.26	106.9307598885
0.0	-34.05684046	0.27	109.67170928450001
0.0	-33.89799428333334	0.28	112.19658337300001
0.0	-33.735795816666666	0.29000000000000004	114.4771712465
0.0	-33.570437473333335	0.30000000000000004	116.48289807400002
0.0	-33.40254834	0.31	118.17699011949999
0.0	-33.23239741	0.32	119.516490759
0.0	-33.06069461	0.33	120.44281047600003
0.0	-32.888000686666665	0.34	120.86760822000002
0.0	-32.714962526666675	0.35000000000000003	120.69919496100002
0.0	-32.54331946333334	0.36000000000000004	119.50728208800001
0.0	-32.3740967	0.37000000000000005	116.6968491065
0.0	-32.212724183333336	0.38	105.44966814
