Component: Shear
Strain, Stress, Mean Volume, Mean Pressure 
0.0, 0.0, 0.0, 0.0 
0.01, 9.223938, 22.92457858, 22.843333333333334
0.02, 18.4350661215, 22.91770052, 20.24
0.03, 27.581223070500002, 22.90623709, 16.116666666666664
0.04, 36.641613574500006, 22.89018828, 10.363333333333335
0.05, 45.585245847500005, 22.869554089999998, 2.953333333333333
0.060000000000000005, 54.37482872000001, 22.84433453, 6.196666666666666
0.06999999999999999, 62.97733294, 22.8145296, 17.086666666666666
0.08, 71.36073902849999, 22.780139290000005, 29.8
0.09, 79.47659701750001, 22.74116361, 44.35
0.09999999999999999, 87.289204149, 22.697602559999996, 60.75666666666667
0.11, 94.729106868, 22.64945613, 79.36
0.12, 101.7409148795, 22.596724320000003, 100.22000000000001
0.13, 108.2327479475, 22.539407139999998, 123.61666666666667
0.14, 114.1004295755, 22.47750459, 149.80666666666664
0.15000000000000002, 119.19425504350002, 22.41101667, 179.40666666666667
0.16, 123.26421937700002, 22.339943359999996, 212.73666666666668
0.17, 126.01792850749999, 22.26428469, 251.88000000000002
0.18000000000000002, 126.762134481, 22.184040639999996, 299.52333333333337
0.19, 123.64275862099998, 22.09921122, 364.28

