#Strain	Work Hardening Rate
0.01	888.0507620999999
0.02	888.6371934750002
0.03	889.5917459750001
0.04	891.0579205499997
0.05	892.2434582999999
0.060000000000000005	893.1857972500006
0.06999999999999999	894.820339575
0.08	896.53051185
0.09	898.5334311250004
0.09999999999999999	900.3997839999995
0.11	902.1509384499998
0.12	903.9724415749993
0.13	905.53579675
0.14	906.3800232749996
0.15000000000000002	905.9838756000003
0.16	903.6062728000009
0.17	794.3494962249993
0.18000000000000002	477.7008127499999
0.19	57.354542900000666
0.2	339.5295569500004
0.21000000000000002	818.0397640749992
0.22	738.6441856250005
0.23	-725.9507218999979
0.24000000000000002	-2002.4176566500028
0.25	-1287.4088076250025
0.26	-278.3319917249981
0.27	-44.38892809999966
0.28	-209.98051535000124
0.29000000000000004	-632.7826957000011
0.3	-1326.5767829750007
0.31	-1579.5201265999965
