Component: Tensile_x
Strain, Stress, Mean Volume, Mean Energy, Mean External Pressure 
0.0, 0.0, 0.0, 0.0 0.0 
0.01, 8.157323537000002, 48.15102004, -69.80650613, 4.088
0.015, 11.944233131, 48.38939142, -69.79221021, 5.843999999999999
0.02, 15.692272925000001, 48.62776281, -69.77244035, 7.563
0.03, 23.053848129000002, 49.10450558, -69.7160964, 10.879000000000001
0.04, 30.244517211, 49.58124835, -69.63803705, 14.041
0.05, 37.261281501000006, 50.05799113, -69.53866503, 17.054
0.06, 44.108648965, 50.5347339, -69.41895419, 19.923
0.07, 50.785687287, 51.01147667, -69.27901619, 22.655
0.08, 57.294617118, 51.48821944, -69.11942329, 25.255000000000003
0.09000000000000001, 63.634932588000005, 51.96496222, -68.94047252, 27.725
0.1, 69.80859767, 52.44170499, -68.7432526, 30.07
0.11, 75.816848277, 52.91844776, -68.52765527, 32.296
0.12000000000000001, 81.66101763200001, 53.39519053, -68.29451904, 34.407
0.13, 87.33830898800001, 53.87193331, -68.04415631, 36.404
0.13999999999999999, 92.85355472700002, 54.34867608, -67.77709753, 38.293
0.15, 98.20518515500001, 54.82541885, -67.49382084, 40.076
0.16, 103.40196940700001, 55.30216163, -67.19516928, 41.763
0.16999999999999998, 108.43943699500001, 55.77890440000001, -66.88107819, 43.351
0.18, 113.317535707, 56.25564717, -66.55219876, 44.845
0.19, 118.038039729, 56.73238994, -66.20887826, 46.245999999999995
0.19999999999999998, 122.60850089200001, 57.20913271999999, -65.85210172, 47.562
0.21, 127.021930693, 57.68587549, -65.48179048, 48.791000000000004
0.22, 131.2853154, 58.16261826000001, -65.09858958, 49.939
0.22999999999999998, 135.39432709800002, 58.63936103, -64.7026636, 51.003
0.24, 139.35637583000002, 59.11610381, -64.29482307, 51.992
0.25, 143.171898488, 59.59284657999999, -63.87589967, 52.908
0.26, 146.835898842, 60.06958935, -63.44534203, 53.748000000000005
0.27, 150.35555056500002, 60.54633212000001, -63.00434471, 54.517999999999994
0.28, 153.730526909, 61.023074900000005, -62.552926, 55.221000000000004
0.29000000000000004, 156.960965143, 61.49981767, -62.0917488, 55.855999999999995
0.30000000000000004, 160.04896336800002, 61.97656043999999, -61.62112486, 56.428
0.31, 162.99557686900002, 62.45330321, -61.1415767, 56.937
0.32, 165.79571616700002, 62.93004599, -60.65350404, 57.383
0.33, 168.454870713, 63.406788760000005, -60.15713263, 57.77
0.34, 170.97414571700003, 63.88353153, -59.65319863, 58.098
0.35000000000000003, 173.354075255, 64.36027431, -59.14191233, 58.372
0.36000000000000004, 175.586356286, 64.83701708, -58.62386506, 58.585
0.37000000000000005, 177.681439409, 65.31375985, -58.09934748, 58.748000000000005
0.38, 179.63593527900002, 65.79050262, -57.56872036, 58.86
0.39, 181.445548744, 66.2672454, -57.03242941, 58.91799999999999
0.4, 183.10819740300002, 66.74398817, -56.49125135, 58.924
0.41000000000000003, 184.60387085600001, 67.22073094, -55.94519556, 58.86
0.42000000000000004, 185.981340319, 67.69747371, -55.39499064, 58.777
0.43000000000000005, 187.18399251900001, 68.17421649, -54.84072465, 58.622
0.44, 188.239223853, 68.65095926, -54.28312758, 58.42999999999999
0.45, 189.136151415, 69.12770203, -53.72288605, 58.190999999999995
0.46, 189.85574150800002, 69.6044448, -53.1599972, 57.897000000000006
0.47000000000000003, 190.34982122300002, 70.08118758, -52.59542342, 57.541999999999994
0.48000000000000004, 190.22232822900003, 70.55793035, -52.0297822, 57.104
0.49000000000000005, 188.4394531, 71.03467312, -51.46691525, 56.513999999999996
0.5, 185.06010067900002, 71.51141589, -50.9119845, 55.786
0.51, 181.53361826000003, 71.98815867, -50.36801976, 55.048

