#Internal Pressure(GPa)	Enthalpy(eV)	Strain	Stress
65.09414447266505	0.0	0.0	0.0
-43.94382007680812	-381.6191508884798	0.01	42.519151
-48.23737305781997	-396.75741704634584	0.02	48.558713
-54.11941953479475	-417.64012011565757	0.03	54.213348
-59.27320295194798	-436.1210286136918	0.04	59.47435
-64.23187438783835	-454.0769351786645	0.05	64.344113
-68.85137076345916	-470.9592762214567	0.06	68.890974
-73.02627590102821	-486.36455508270615	0.07	73.083754
-76.80868810403648	-500.4497168175012	0.08	76.985322
-80.45392428315917	-514.1573275378757	0.09	80.583766
-83.87993801889382	-527.1508809461313	0.1	83.918157
-86.95503744858463	-538.9257473386339	0.11	86.998148
-89.68919085608749	-549.4837551653352	0.12	89.849651
-92.31049531274112	-559.7066287949795	0.13	92.442438
-94.89941995210168	-569.8843311734735	0.14	94.831319
-97.09244007203849	-578.583279543519	0.15	96.994387
-98.9480153874276	-586.0063118238729	0.16	98.976922
-100.66730457382458	-592.9482875319776	0.17	100.760288
-102.16888255996454	-599.0571604466131	0.18	102.360456
-103.63131389007125	-605.0666520406279	0.19	103.771586
-105.12733667542884	-611.2578474793456	0.2	105.057554
-106.06290429565463	-615.1584314456651	0.21	106.175412
-107.30439788150863	-620.39668872031	0.22	107.15069
-107.90633613492066	-622.9295079272654	0.23	108.000082
-108.41586077532283	-625.1307890413015	0.24	108.698386
-109.40599474422656	-629.3900079481313	0.25	109.288973
-109.54204661256401	-629.9792980005118	0.26	109.761331
-109.89796904817234	-631.5456751256748	0.27	110.12189
-110.30540319879661	-633.3404869593573	0.28	110.386783
-110.46358934472357	-634.0458379311852	0.29	110.550202
-110.64766121707258	-634.8713239377164	0.3	110.62527
-110.57730495988552	-634.5492862248273	0.31	110.61541
-110.43680445158175	-633.9117214983082	0.32	110.523246
-110.35971431908854	-633.556203725044	0.33	110.355285
-110.06569724564747	-632.193865967531	0.34	110.118778
-109.85537884374914	-631.2172740554914	0.35	109.813988
