Component: Tensile_x
Strain, Stress, Mean Volume, Mean Pressure 
0.0, 0.0, 0.0, 0.0 
0.01, 11.73770554, 46.09064097, 49.373333333333335
0.02, 22.100385032000002, 46.54698395, 88.69666666666667
0.03, 31.845181036000003, 47.00332692999999, 125.50999999999999
0.04, 40.979852239, 47.45966991, 159.81666666666666
0.05, 49.499750989000006, 47.91601289, 191.63666666666666
0.060000000000000005, 57.412739998999996, 48.37235587, 221.24
0.06999999999999999, 64.724445037, 48.82869885, 248.49
0.08, 71.42701860300001, 49.28504182999999, 273.47333333333336
0.09, 77.510945989, 49.74138481, 296.21000000000004
0.09999999999999999, 82.96429468000001, 50.19772779000001, 316.7366666666667
0.11, 87.76903224200001, 50.65407077, 335.0466666666666
0.12, 91.88851599, 51.11041375, 351.08666666666664
0.13, 95.27082420800001, 51.56675673, 364.8066666666667
0.14, 97.825949452, 52.02309971, 376.0566666666667
0.15000000000000002, 99.382282551, 52.479442690000006, 384.5
0.16, 99.635308867, 52.93578567, 389.48
0.17, 97.882048909, 53.39212865, 389.49333333333334
0.18000000000000002, 92.11019285200001, 53.84847163, 380.05

