# Strain	Stress(GPa) 	Mean Volume (A^3)	Mean Pressure (GPa) 
0.0	0.0	0.0	0.0    
0.010000	6.597334	45.597815	3.930000
0.020000	16.919558	46.049279	45.810000
0.030000	26.966573	46.500742	85.700000
0.040000	36.731577	46.952206	123.610000
0.050000	46.239858	47.403669	159.750000
0.060000	55.480435	47.855133	194.080000
0.070000	64.455076	48.306596	226.680000
0.080000	73.163703	48.758060	257.590000
0.090000	81.615843	49.209523	286.880000
0.100000	89.813742	49.660987	314.640000
0.110000	97.763633	50.112450	340.900000
0.120000	105.463422	50.563914	365.700000
0.130000	112.917891	51.015377	389.100000
0.140000	120.129505	51.466841	411.150000
0.150000	127.099995	51.918304	431.880000
0.160000	133.838837	52.369768	451.390000
0.170000	140.337865	52.821231	469.600000
0.180000	146.609262	53.272695	486.650000
0.190000	152.661608	53.724158	502.600000
0.200000	158.485285	54.175622	517.410000
0.210000	164.091317	54.627085	531.160000
0.220000	169.478675	55.078549	543.860000
0.230000	174.650581	55.530012	555.540000
0.240000	179.616410	55.981476	566.290000
0.250000	184.371818	56.432940	576.070000
0.260000	188.920506	56.884403	584.920000
0.270000	193.264517	57.335867	592.860000
0.280000	197.409696	57.787330	599.960000
0.290000	201.356263	58.238794	606.200000
0.300000	205.104388	58.690257	611.610000
0.310000	208.660343	59.141721	616.230000
0.320000	212.020093	59.593184	620.060000
0.330000	215.188742	60.044648	623.100000
0.340000	218.164383	60.496111	625.380000
0.350000	220.951273	60.947575	626.950000
0.360000	223.538050	61.399038	627.760000
0.370000	225.684297	61.850502	627.570000
0.380000	225.688786	62.301965	624.580000
0.390000	222.098597	62.753429	617.540000
0.400000	218.950341	63.204892	611.030000
0.410000	218.864224	63.656356	607.510000
0.420000	213.657905	64.107819	600.820000
0.430000	209.301386	64.559283	595.040000
0.440000	210.204481	65.010746	591.650000
0.450000	207.068170	65.462210	585.480000
0.460000	201.885007	65.913673	578.600000
0.470000	200.732489	66.365137	573.620000
0.480000	201.348074	66.816600	568.790000
0.490000	201.953201	67.268064	563.240000
0.500000	202.151646	67.719527	556.760000
0.510000	200.970980	68.170991	548.720000
0.520000	196.129109	68.622454	537.820000
0.530000	189.125511	69.073918	525.470000
0.540000	181.431067	69.525381	512.180000
0.550000	170.831856	69.976845	497.560000
0.560000	162.480699	70.428309	485.260000
0.570000	158.721744	70.879772	475.780000
#Estimated yield strength using 0.002 and yield strength using linearity method are:  6.60 GPa and  213.66 GPa 
#The Tensile_x ultimate strength is: 225.69 GPa 
#Energy Storage Capacity at max strain 0.380 is 5.360 MJ/L or 421.285 Wh/Kg
