#Strain	Work Hardening Rate
0.01	1031.9692708000002
0.02	1018.4946702500002
0.03	990.7443311499998
0.04	963.5813746499998
0.05	937.3387342999999
0.060000000000000005	910.7196985500001
0.06999999999999999	884.2375299000005
0.08	858.1157234000001
0.09	832.4990757500008
0.09999999999999999	807.3863624499998
0.11	782.4845678000001
0.12	757.7146284000007
0.13	733.2993089999982
0.14	709.1016638499995
0.15000000000000002	685.4684567000011
0.16	661.8960880499994
0.17	638.6627153000001
0.18000000000000002	616.0503680000008
0.19	593.7956378499994
0.2	571.6210768000005
0.21000000000000002	549.5358696500008
0.22	527.9666416
0.23	506.88558459999865
0.24000000000000002	486.06146679999847
0.25	465.20856105000115
0.26	444.6411793000006
0.27	424.4464978500001
0.28	404.58117684999985
0.29000000000000004	384.75311894999965
0.3	365.1916633500015
0.31	345.7664555000005
0.32	326.4350946499985
0.33	307.22724434999947
0.34	288.12053345000066
0.35000000000000003	268.6817414499996
0.36000000000000004	236.65177399999965
0.37	107.53743770000048
0.38	-179.2810859999987
0.39	-336.92568910000034
0.4	-161.71040715000075
0.41000000000000003	-264.63775924999857
0.42000000000000004	-520.6912706999982
