#Strain	Work Hardening Rate
0.01	1093.8506198000002
0.015	1071.4680977
0.02	1006.5839569999999
0.03	944.2671471
0.04	865.6591843500001
0.05	792.0104185000001
0.06	722.5416046999998
0.07	657.7482845500003
0.08	596.9152213499998
0.09000000000000001	540.0411674499998
0.1	486.63714719999996
0.11	436.5222846999998
0.12000000000000001	389.53453095000077
0.13	345.5426102000008
0.13999999999999999	304.3413134999996
0.15	265.71951994999995
0.16	229.68011530000052
0.16999999999999998	195.71062089999964
0.18	163.9766322499993
0.19	134.31188484999984
0.19999999999999998	106.58037489999975
0.21	80.72723305000046
0.22	56.544648400000625
0.22999999999999998	33.816713599999574
0.24	12.442849149999791
0.25	-7.176485549999961
0.26	-25.49474114999908
0.27	-42.74709440000063
0.28	-58.83258550000074
0.29000000000000004	-66.60287129999881
