#Surface Tension (N/m)	Enthalpy(eV)	Strain	Stress
-0.0006244637345815316	-22.734416590000002	0.01	0.7056567635809569
-0.0007936765614088232	-22.73049303	0.02	1.2326027633121153
-0.0011313737396610839	-22.725104838333333	0.03	1.7569624163594475
-0.001467439728633157	-22.71679843833333	0.04	2.2777387595543286
-0.001691440016624834	-22.704637615	0.05	2.7947319410085893
-0.0019850401634210245	-22.69210415166667	0.060000000000000005	3.3040906985306147
-0.00237930064292756	-22.676349948333332	0.06999999999999999	3.8119960720393298
-0.0026912729896475967	-22.65717899166667	0.08	4.314306136226332
-0.0030011741997713385	-22.635320301666667	0.09	4.809972245857217
-0.003308112969043745	-22.610764223333334	0.09999999999999999	5.299947167275726
-0.0036094863564211065	-22.583541360000005	0.11	5.7833534406692415
-0.003906986853731407	-22.553709191666666	0.12	6.26049605033484
-0.004201260168266859	-22.52129714666667	0.13	6.730993423948687
-0.004490396445217097	-22.486320528333334	0.14	7.19454799635804
-0.004774890359409903	-22.44884038333333	0.15000000000000002	7.651279550857277
-0.005055766456288019	-22.408888778333335	0.16	8.101187174536282
-0.005332137879415381	-22.366497193333334	0.17	8.545447005115417
-0.005604292770110887	-22.321706634999998	0.18000000000000002	8.982795538442826
-0.005874172891452579	-22.274567995	0.19	9.415174044448946
-0.006141005676614239	-22.22507966833333	0.2	9.842494807556934
-0.006404698494930963	-22.173288330000002	0.21000000000000002	10.26521226415949
-0.006666744266526521	-22.11921349666667	0.22	10.684526923722254
-0.006925960451690305	-22.062866716666665	0.23	11.101077399532759
-0.00718430002974014	-22.004291854999998	0.24000000000000002	11.517276236206918
-0.007442687180115381	-21.943484953333332	0.25	11.929727855226771
-0.0077018865409205165	-21.880463705	0.26	12.345176048056562
-0.007963295694245472	-21.81521505166667	0.27	12.763329839759265
-0.008226299293997473	-21.747720703333336	0.28	13.184221171302548
-0.0084929502987298	-21.677983856666664	0.29000000000000004	13.610033333331959
-0.00876407232849538	-21.605963236666668	0.3	14.042691933226303
-0.009038843503692145	-21.53162306666666	0.31	14.479938319376448
-0.009318462608238378	-21.454939471666666	0.32	14.92840022779818
-0.009604221830251076	-21.375874231666664	0.33	15.386742647971852
-0.009895593232950625	-21.294366316666665	0.34	15.853479366889779
-0.010192219443748396	-21.21037239	0.35000000000000003	16.328347760373045
-0.010494039160094741	-21.123841603333332	0.36000000000000004	16.81195433355612
-0.01078834670349867	-21.03462525333334	0.37	17.302577289743425
-0.01109559121198346	-20.94306826666667	0.38	17.794042444395608
-0.011416081905661775	-20.84878162833333	0.39	18.292239967471453
-0.011726120418024672	-20.751724451666664	0.4	18.789257243953795
-0.012032595647201926	-20.651972914999998	0.41000000000000003	19.281826316893316
-0.012333671417471256	-20.549555806666667	0.42000000000000004	19.764106983774518
-0.01262294132237548	-20.44446637	0.43	20.229080138414925
-0.012895798581709392	-20.33681994166667	0.44	20.669604310461487
-0.013147808139759281	-20.22670616166667	0.45	21.074554617797784
-0.013368158122019063	-20.114263335	0.46	21.432495980158233
-0.013548151688618776	-19.999730735	0.47000000000000003	21.723543153721472
-0.013689290075169997	-19.88350269333333	0.48000000000000004	21.930633875584324
-0.013733082721098463	-19.765363461666666	0.49	22.020296757363564
-0.01367799841636047	-19.646689433333336	0.5	21.9666708353365
-0.013525920909002674	-19.52781158666667	0.51	21.71861031932265
-0.013206137418548234	-19.409477606666666	0.52	21.220832692133072
-0.013001759361008643	-19.29566109	0.53	20.401648311102885
