#Strain	Work Hardening Rate
0.01	117.96653854683674
0.02	113.7970509733926
0.03	105.79967178513307
0.04	97.94333783230545
0.05	90.78449217137268
0.060000000000000005	84.73277592413248
0.06999999999999999	79.0400453291127
0.08	73.72571006850416
0.09	68.86178109900695
0.09999999999999999	64.58581010299447
0.11	60.52554032787797
0.12	57.036385256794716
0.13	53.85232466963656
0.14	50.697165697084536
0.15000000000000002	47.906622481636084
0.16	45.491688747284286
0.17	43.40304790745218
0.18000000000000002	41.69840288010402
0.19	40.07806704623873
0.2	38.04433992734767
0.21000000000000002	36.22439536289008
0.22	34.57814571216088
0.23	32.90380238005672
0.24000000000000002	31.09625426409243
0.25	29.970513070315366
0.26	28.51747563625515
0.27	26.356403232326794
0.28	24.65328573533403
0.29000000000000004	22.84910667761548
0.3	20.95479485301514
0.31	19.09985223840545
0.32	17.120496848673014
0.33	14.952118986496275
0.34	12.895254961580516
0.35000000000000003	11.196332729819137
0.36000000000000004	10.438022695510076
