#Internal Pressure(GPa)	Enthalpy(eV)	Strain	Stress
-15.377056146872146	-200.37505947333364	0.01	14.097056937
-16.769610313690194	-203.49824813333413	0.02	16.889696197000003
-19.527613649352865	-209.7138584950028	0.03	19.636660489
-22.201775462760875	-215.7989829833337	0.04	22.321773818
-24.799567401300678	-221.76783621999553	0.05	24.921376363
-27.32503583669028	-227.62567493333552	0.060000000000000005	27.416600437
-29.72627445259225	-233.247924593335	0.06999999999999999	29.830532717
-32.00123470842651	-238.6246718499982	0.08	32.134981348000004
-34.17088810824656	-243.8002563250024	0.09	34.301974812
-36.21750324700392	-248.72706872333634	0.09999999999999999	36.322739614
-38.09492012160516	-253.2875185916664	0.11	38.204076546
-39.821688840819995	-257.52038120999885	0.12	39.924679262000005
-41.37585168134781	-261.3635332516688	0.13	41.479687638
-42.72541249495986	-264.7306056599991	0.14	42.853450799
-43.883730758794556	-267.6456613683335	0.15000000000000002	44.033527788
-44.84488294182851	-270.08560847000166	0.16	45.010427076000006
-45.63512562515026	-272.1090274483362	0.17	45.779720045000005
-46.20531816623231	-273.58062200999933	0.18000000000000002	46.339702489000004
-46.52046748066048	-274.40051454166405	0.19	46.667154864000004
-46.63036858271021	-274.6882845966696	0.2	46.76381855700001
-46.63972648527137	-274.7129759966688	0.21000000000000002	46.610904322
