#Strain	Work Hardening Rate
0.01	54.31472540000001
0.015	54.834750050000004
0.02	56.722255066666676
0.03	58.66920917500001
0.04	61.002618375
0.05	63.269863575
0.06	65.55989937499999
0.07	68.61192454999998
0.08	71.00326962500002
0.09000000000000001	72.76363857499997
0.1	75.01621020000003
0.11	76.90524302500002
0.12000000000000001	78.9072883
0.13	80.88271777500006
0.13999999999999999	82.72421150000002
0.15	84.39677709999992
0.16	86.04525537500005
0.16999999999999998	87.69959390000017
0.18	89.1894570499999
0.19	89.94770382499983
0.19999999999999998	91.99555489999996
0.21	122.56638207499992
0.22	258.7545989500002
0.22999999999999998	277.6061979500003
0.24	137.46597989999987
0.25	84.04307362499985
0.26	80.22271177499995
0.27	66.25140752499992
0.28	0.5492892750000418
0.29000000000000004	-20.45767887499979
0.30000000000000004	32.46256197500006
0.31	85.25639614999976
0.32	-181.7064292749999
0.33	-264.4370023749994
0.34	-47.98600407499971
0.35000000000000003	-48.131953449999855
